week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,3,483.0000000000001,-80.50000000000001,-0.16666666666666666
2025-10-06/2025-10-12,11,1.0,37,4572.0,-625.5000000000001,-0.13681102362204728
2025-10-13/2025-10-19,12,1.0,32,3942.0,730.0,0.18518518518518517
2025-10-20/2025-10-26,13,0.8456099033355713,114,8705.101388454437,-344.42958331108093,-0.03956640686206106
2025-10-27/2025-11-02,14,0.8259798288345337,45,3485.669832468033,-50.50739181041712,-0.014490010310200635
2025-11-03/2025-11-09,15,1.0,128,5731.0,-355.5,-0.062031059151980456
2025-11-10/2025-11-16,16,0.9770185947418213,40,3966.885585784912,-259.94285535812367,-0.06552819579410425
2025-11-17/2025-11-23,17,1.0,43,2738.0,529.5,0.19338933528122718
2025-11-24/2025-11-30,18,0.9210525751113892,189,7447.815445303917,1335.2630890607834,0.17928251564057068
2025-12-01/2025-12-07,19,1.0,87,6992.0,-343.00000000000006,-0.04905606407322655
2025-12-08/2025-12-14,20,1.0,104,4177.0,1681.0,0.40244194397893224
2025-12-15/2025-12-21,21,1.0,50,3320.0,437.5,0.13177710843373494
2025-12-22/2025-12-28,22,1.0,32,1230.0,79.99999999999997,0.06504065040650404
2025-12-29/2026-01-04,23,1.0,16,1012.0,46.0,0.045454545454545456
2026-01-05/2026-01-11,24,1.0,74,3477.0,322.0,0.09260857060684498
2026-01-12/2026-01-18,25,1.0,49,3145.0,-391.5,-0.12448330683624802
