week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,16,1937.0,-162.0,-0.08363448631905007
2025-10-13/2025-10-19,12,0.8382449746131897,93,6017.230797529221,964.718796133995,0.16032604176162318
2025-10-20/2025-10-26,13,0.5707145929336548,80,3135.9652460813522,-250.65514838695526,-0.07992918566306485
2025-10-27/2025-11-02,14,1.0,45,2369.0,621.0,0.2621359223300971
2025-11-03/2025-11-09,15,0.886709988117218,122,4730.752539873123,196.53479185700417,0.04154408631618579
2025-11-10/2025-11-16,16,0.7692307233810425,119,4514.92281961441,-196.2307597398758,-0.04346270525099132
2025-11-17/2025-11-23,17,1.0,76,2596.0,598.5,0.23054699537750384
2025-11-24/2025-11-30,18,0.9380369186401367,168,7222.808057785034,951.3592562675475,0.13171598201922782
2025-12-01/2025-12-07,19,0.8893280625343323,109,6248.181814312935,-627.9090905189514,-0.10049468936396465
2025-12-08/2025-12-14,20,1.0,109,4348.0,1411.5,0.3246320147194112
2025-12-15/2025-12-21,21,0.9987397193908691,59,3313.521625518799,89.8840541839599,0.027126442601649457
2025-12-22/2025-12-28,22,1.0,35,1628.0,282.0,0.1732186732186732
2025-12-29/2026-01-04,23,1.0,24,1451.0,143.5,0.0988973121984838
2026-01-05/2026-01-11,24,0.8884422779083252,64,3423.4283759593964,43.95377576351166,0.012839110662332424
2026-01-12/2026-01-18,25,1.0,51,3329.0,-391.5,-0.11760288374887354
