week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,76,2185.0,-172.63800000000003,-0.07901052631578949
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,1.0,77,4218.0,313.0645,0.0742210763394974
2025-11-10/2025-11-16,12,1.0,54,4013.0,-94.03450000000015,-0.023432469474208857
2025-11-17/2025-11-23,12,0.8989130258560181,23,1148.6499845981598,325.25541909420485,0.2831632119927214
2025-11-24/2025-11-30,12,0.9848170876502991,65,3895.8888177871704,-21.33558679181337,-0.005476436261323235
2025-12-01/2025-12-07,12,1.0,38,3035.0,-804.9180000000001,-0.26521186161449756
2025-12-08/2025-12-14,12,1.0,25,1474.0,694.566,0.47121166892808686
2025-12-15/2025-12-21,12,1.0,35,1891.0,-444.6775000000001,-0.23515468006345855
2025-12-22/2025-12-28,12,1.0,13,363.0,81.44300000000001,0.22436088154269976
2025-12-29/2026-01-04,12,1.0,12,667.0,171.18900000000002,0.25665517241379315
2026-01-05/2026-01-11,12,1.0,33,1702.0,-56.58000000000004,-0.033243243243243265
2026-01-12/2026-01-18,12,1.0,77,3368.0,-35.97900000000001,-0.010682600950118769
