week,n_train_weeks,alpha,pnl_theoretical,stake_theoretical,roi_on_stake_theoretical,pred_mean,pred_p05,pred_p10,pred_p50,pred_p90,pred_p95,pred_prob_pos,pred_stake_mean,pred_stake_p10,pred_stake_p50,pred_stake_p90,pred_roi_mean,pred_roi_p10,pred_roi_p50,pred_roi_p90,pit,crps,error,abs_error,error_stake_component,error_roi_component,error_interaction,pred_cov_term,error_vs_prodmeans,error_decomp_total
2025-09-29/2025-10-05,10,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-06/2025-10-12,11,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13/2025-10-19,12,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20/2025-10-26,13,1.0,60.05300000000001,874.0,0.06871052631578949,25.8610988,-46.069,-46.0,0.0,112.47,128.57,0.3853,278.1758,0.0,46.0,966.0,-0.041693659407259415,-1.0,0.0,0.222,0.6147,27.30419700000001,34.19190120000001,34.19190120000001,-24.842091261402814,30.711772686857703,65.78148563508704,37.45926586054191,71.65116706054192,34.19190120000001
2025-10-27/2025-11-02,14,1.0,-10.235,276.0,-0.03708333333333333,44.4425195,-69.0,-69.0,0.0,165.10750000000002,231.955,0.4253,555.1555,0.0,184.0,1628.0,-0.06402908880088509,-1.0,0.0,0.1838451025056948,0.2863,24.71391595,-54.6775195,54.6775195,17.874072298755475,14.959084349466432,-7.522055840422145,79.98862030779976,25.31110080779976,-54.6775195
2025-11-03/2025-11-09,15,0.9040834307670592,-124.12716731682416,3854.614863038063,-0.032202222978767785,79.51976113054113,-813.9233273290992,-62.381756722927086,101.88028711003061,395.4910791302025,707.1218036724329,0.5312,1074.156942065632,0.0,798.581080675125,3112.5371609330173,-0.07710386110282605,-1.0,0.05297328807263467,0.21803558227628334,0.067,144.8550240851969,-203.64692844736527,203.64692844736527,-214.3840413409108,48.23140630107602,124.8471153866755,162.34140879420596,-41.30551965315931,-203.64692844736527
2025-11-10/2025-11-16,16,0.6215238571166992,121.8652902841568,1672.5206995010376,0.07286324786324787,42.04389514238482,-570.0845025014877,0.0,0.0,294.89031646823884,436.7439300775528,0.4437,587.4296488334655,0.0,200.13068199157715,1640.0949687957764,0.03646715985774651,0.0,0.0,0.2071789447636265,0.7477,69.47113135828069,79.82139514177197,79.82139514177197,39.57018880490447,21.38014119598357,39.493069374078885,20.622004233194936,100.44339937496692,79.821395141772
2025-11-17/2025-11-23,17,0.6001525521278381,239.10021646595,936.0315741300584,0.2554403324355465,39.098571098266824,-551.3415901992917,0.0,0.0,282.363419192493,425.29055619400737,0.4637,618.1964850940705,0.0,193.24912178516388,1615.0105177760124,0.033866877700234714,0.0,0.0,0.20682361665692117,0.8923,139.9486075708033,200.00164536768318,200.00164536768318,10.764082089225015,136.97593090751985,70.42381871380925,18.162186342870967,218.16383171055415,200.00164536768315
2025-11-24/2025-11-30,18,0.6001525521278381,-141.23585567113764,2371.382444024086,-0.05955844702614452,51.72072666083423,-551.3415901992917,0.0,0.0,282.363419192493,425.29055619400737,0.4992,651.0146800096512,0.0,496.92631316185,1615.0105177760124,0.046257161296669215,0.0,0.0,0.25544033243554654,0.0567,155.47060307223475,-192.95658233197187,192.95658233197187,79.57932914960587,-68.88751439230316,-182.04176148814625,21.6066356011283,-171.34994673084358,-192.95658233197184
2025-12-01/2025-12-07,19,0.6830205917358398,-500.74179712772366,2126.947360992432,-0.23542745171374524,38.718982045716565,-548.0469238424301,-116.27754636240013,0.0,249.9377251338959,380.5472088623047,0.4148,616.842672328186,0.0,471.2842082977295,1649.4947290420532,0.04358292205063712,-0.05591370234917964,0.0,0.3302008676723476,0.0547,451.318819888057,-539.4607791734402,539.4607791734402,65.81477493435548,-172.10550456010762,-421.3348736075576,11.835175940130537,-527.6256032333097,-539.4607791734402
2025-12-08/2025-12-14,20,0.7293199300765991,273.7313837131262,1531.753804206848,0.17870455615082745,21.603591800307324,-583.5022626537085,-496.9770610859394,0.0,286.03236798399683,330.1327708344459,0.4497,887.4178857488156,0.0,1031.4615035057068,1895.7538042068481,0.05467338537250411,-0.2100708817247247,0.0,0.2665182827937376,0.8518,147.84254520804149,252.12779191281888,252.12779191281888,35.228025979202386,110.06747933904998,79.91773834087603,-26.914548253690494,225.21324365912838,252.1277919128189
2025-12-15/2025-12-21,21,1.0,-289.7685,2060.0,-0.14066432038834953,76.43778995,-780.675,-644.325,0.0,609.972,643.558,0.4704,1382.9379,0.0,1387.0,3013.0,0.06453368057291066,-0.1966203844980165,0.0,0.27208333333333334,0.1003,283.16570785,-366.20628995000004,366.20628995000004,43.6933092894241,-283.7760925335631,-138.93178944663285,-12.808282740771858,-379.01457269077184,-366.20628995
