week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-10-13/2025-10-19,1.0,FH|quinta-feira,21,2683.0000000000005,398.00000000000006,0.14834140887066716
2025-10-13/2025-10-19,1.0,FH|sábado,32,2914.0,214.0,0.07343857240905971
2025-10-13/2025-10-19,1.0,FT|quinta-feira,31,1417.0,630.0,0.4446012702893437
2025-10-20/2025-10-26,1.0,FH|quinta-feira,19,1584.0,208.0,0.13131313131313133
2025-10-20/2025-10-26,1.0,FT|quinta-feira,57,3865.0,-744.5,-0.1926261319534282
2025-10-27/2025-11-02,1.0,FT|quarta-feira,13,878.0,414.0,0.4715261958997722
2025-10-27/2025-11-02,1.0,FT|sábado,29,2001.0,483.0,0.2413793103448276
2025-11-03/2025-11-09,1.0,FH|sábado,48,1104.0,0.0,0.0
2025-11-03/2025-11-09,1.0,FT|quarta-feira,27,1806.0,39.5,0.021871539313399777
2025-11-03/2025-11-09,1.0,FT|quinta-feira,40,920.0,-276.0,-0.3
2025-11-03/2025-11-09,1.0,FT|sábado,36,1647.0,129.0,0.07832422586520947
2025-11-03/2025-11-09,1.0,FT|terça-feira,11,253.0,11.5,0.045454545454545456
2025-11-10/2025-11-16,1.0,FH|quarta-feira,5,549.0,-416.0,-0.7577413479052824
2025-11-10/2025-11-16,1.0,FH|quinta-feira,5,727.0000000000001,80.50000000000001,0.11072902338376892
2025-11-10/2025-11-16,1.0,FH|sábado,33,759.0,-57.5,-0.07575757575757576
2025-11-10/2025-11-16,1.0,FH|terça-feira,8,736.0,-506.0,-0.6875
2025-11-10/2025-11-16,1.0,FT|quarta-feira,29,1969.0,377.0,0.191467750126968
2025-11-10/2025-11-16,1.0,FT|sábado,28,1288.0,-184.0,-0.14285714285714285
2025-11-10/2025-11-16,1.0,FT|terça-feira,23,3102.0000000000005,-194.00000000000009,-0.06254029658284979
2025-11-17/2025-11-23,1.0,FH|domingo,16,368.0,-138.0,-0.375
2025-11-17/2025-11-23,1.0,FH|quarta-feira,6,138.0,57.5,0.4166666666666667
2025-11-17/2025-11-23,1.0,FH|quinta-feira,6,893.0,309.0,0.3460246360582307
2025-11-17/2025-11-23,1.0,FH|sábado,32,736.0,161.0,0.21875
2025-11-17/2025-11-23,1.0,FT|quarta-feira,7,685.0,48.500000000000014,0.07080291970802922
2025-11-17/2025-11-23,1.0,FT|segunda-feira,15,669.0,297.0,0.4439461883408072
2025-11-17/2025-11-23,1.0,FT|sábado,22,1012.0,184.0,0.18181818181818182
2025-11-24/2025-11-30,1.0,FH|quarta-feira,19,1960.0000000000002,239.00000000000003,0.12193877551020409
2025-11-24/2025-11-30,1.0,FH|quinta-feira,5,596.0,-67.99999999999997,-0.11409395973154357
2025-11-24/2025-11-30,1.0,FH|sábado,37,851.0,276.0,0.32432432432432434
2025-11-24/2025-11-30,1.0,FT|domingo,8,184.0,-34.5,-0.1875
2025-11-24/2025-11-30,1.0,FT|quarta-feira,16,2090.0,116.99999999999991,0.055980861244019096
2025-11-24/2025-11-30,1.0,FT|segunda-feira,20,919.0,183.0,0.19912948857453755
2025-11-24/2025-11-30,1.0,FT|sábado,25,1150.0,69.0,0.06
2025-11-24/2025-11-30,1.0,FT|terça-feira,37,851.0,391.0,0.4594594594594595
2025-12-01/2025-12-07,1.0,FH|quarta-feira,7,715.0,94.0,0.13146853146853146
2025-12-01/2025-12-07,1.0,FH|quinta-feira,6,661.0,-436.50000000000006,-0.6603630862329805
2025-12-01/2025-12-07,1.0,FH|sábado,9,207.0,57.5,0.2777777777777778
2025-12-01/2025-12-07,1.0,FH|terça-feira,15,345.0,184.0,0.5333333333333333
2025-12-01/2025-12-07,1.0,FT|quarta-feira,22,2324.0,-495.5,-0.21320998278829603
2025-12-01/2025-12-07,1.0,FT|segunda-feira,7,322.0,92.0,0.2857142857142857
2025-12-01/2025-12-07,1.0,FT|sábado,17,782.0,46.0,0.058823529411764705
2025-12-01/2025-12-07,1.0,FT|terça-feira,33,2140.0,-36.0,-0.016822429906542057
2025-12-08/2025-12-14,1.0,FH|quarta-feira,2,211.00000000000003,-111.00000000000003,-0.5260663507109006
2025-12-08/2025-12-14,1.0,FH|quinta-feira,6,365.0,27.0,0.07397260273972603
2025-12-08/2025-12-14,1.0,FH|sábado,30,690.0,11.5,0.016666666666666666
2025-12-08/2025-12-14,1.0,FH|terça-feira,11,731.0,118.0,0.16142270861833105
2025-12-08/2025-12-14,1.0,FT|quarta-feira,8,1083.0000000000002,589.0000000000001,0.543859649122807
2025-12-08/2025-12-14,1.0,FT|segunda-feira,17,761.0,416.0,0.5466491458607096
2025-12-08/2025-12-14,1.0,FT|sábado,17,782.0,92.0,0.11764705882352941
2025-12-08/2025-12-14,1.0,FT|terça-feira,18,807.0,301.0,0.37298636926889717
2025-12-15/2025-12-21,1.0,FH|quarta-feira,6,761.0000000000001,-159.5,-0.209592641261498
2025-12-15/2025-12-21,1.0,FH|quinta-feira,11,759.0,-69.0,-0.09090909090909091
2025-12-15/2025-12-21,1.0,FH|sábado,1,23.0,23.0,1.0
2025-12-15/2025-12-21,1.0,FH|terça-feira,9,1128.0000000000002,192.5,0.1706560283687943
2025-12-15/2025-12-21,1.0,FT|domingo,2,46.0,-23.0,-0.5
2025-12-15/2025-12-21,1.0,FT|quarta-feira,11,1201.0,-163.00000000000003,-0.13572023313905082
2025-12-15/2025-12-21,1.0,FT|segunda-feira,6,401.0,56.0,0.1396508728179551
2025-12-15/2025-12-21,1.0,FT|terça-feira,16,736.0,322.0,0.4375
2025-12-22/2025-12-28,1.0,FH|quinta-feira,1,161.00000000000003,-161.00000000000003,-1.0
2025-12-22/2025-12-28,1.0,FH|sábado,1,23.0,-23.0,-1.0
2025-12-22/2025-12-28,1.0,FH|terça-feira,3,258.0,18.0,0.06976744186046512
2025-12-22/2025-12-28,1.0,FT|quarta-feira,1,161.00000000000003,-161.00000000000003,-1.0
2025-12-22/2025-12-28,1.0,FT|sexta-feira,8,368.0,46.0,0.125
2025-12-22/2025-12-28,1.0,FT|sábado,2,92.0,138.0,1.5
