date,stake_usd,profit_cap2_usd,week,alpha_global
2025-10-23,2185.0,-172.638,2025-10-20/2025-10-26,1.0
2025-11-05,667.0,-46.87400000000001,2025-11-03/2025-11-09,1.0
2025-11-08,1647.0,79.412,2025-11-03/2025-11-09,1.0
2025-11-12,782.0,-118.243,2025-11-10/2025-11-16,1.0
2025-11-13,727.0000000000001,70.67899999999996,2025-11-10/2025-11-16,1.0
2025-11-15,644.0,-172.99450000000002,2025-11-10/2025-11-16,1.0
2025-11-20,138.0,42.596000000000004,2025-11-17/2025-11-23,1.0
2025-11-24,460.0,16.881999999999994,2025-11-24/2025-11-30,1.0
2025-11-26,368.0,-24.897500000000008,2025-11-24/2025-11-30,1.0
2025-12-16,506.0,108.951,2025-12-15/2025-12-21,1.0
2025-12-23,499.0,145.48600000000002,2025-12-22/2025-12-28,1.0
2025-12-30,230.0,52.27900000000001,2025-12-29/2026-01-04,1.0
2026-01-06,1196.0,-113.20600000000002,2026-01-05/2026-01-11,1.0
2026-01-12,23.0,-23.0,2026-01-12/2026-01-18,1.0
2026-01-15,299.0,-94.76,2026-01-12/2026-01-18,1.0
